id_salarie,age,anciennete,categorie,salaire,taux_cotis,encours
44,37,15,non_cadre,22140.0,0.06,17945.0
45,24,2,cadre,53552.0,0.1,9852.0
46,63,11,non_cadre,34430.0,0.06,26610.0
47,41,19,cadre,58055.0,0.1,132363.0
48,60,18,non_cadre,32558.0,0.06,30151.0
49,51,8,cadre,51845.0,0.1,48822.0
50,55,27,non_cadre,37673.0,0.06,66072.0
51,54,13,cadre,39765.0,0.1,51666.0
52,30,4,non_cadre,22275.0,0.06,6318.0
53,37,15,non_cadre,23052.0,0.06,22520.0
54,42,20,cadre,42096.0,0.1,87346.0
55,43,1,non_cadre,40192.0,0.06,2131.0
56,23,1,non_cadre,25933.0,0.06,1397.0
57,45,23,non_cadre,26627.0,0.06,42794.0
58,28,6,non_cadre,26518.0,0.06,8458.0
59,53,7,non_cadre,26973.0,0.06,9209.0
60,51,18,cadre,36427.0,0.1,59437.0
61,61,16,cadre,47195.0,0.1,74925.0
62,54,18,cadre,47678.0,0.1,81768.0
63,37,15,non_cadre,29144.0,0.06,30802.0
64,63,19,cadre,46471.0,0.1,85419.0
65,39,15,non_cadre,23724.0,0.06,24674.0
66,36,14,non_cadre,41230.0,0.06,35945.0
67,60,15,non_cadre,39625.0,0.06,36007.0
68,37,0,non_cadre,27629.0,0.06,0.0
69,25,1,non_cadre,27721.0,0.06,1511.0
70,42,20,non_cadre,24952.0,0.06,34340.0
71,56,27,non_cadre,25009.0,0.06,45052.0
72,30,8,non_cadre,29996.0,0.06,14095.0
73,41,5,non_cadre,30124.0,0.06,10516.0
74,27,5,non_cadre,21774.0,0.06,7366.0
75,51,4,non_cadre,47461.0,0.06,9623.0
76,42,11,cadre,43697.0,0.1,50103.0
77,36,9,non_cadre,30396.0,0.06,18376.0
78,31,0,cadre,72266.0,0.1,0.0
79,46,24,non_cadre,28440.0,0.06,34259.0
80,50,15,non_cadre,27928.0,0.06,22366.0
81,62,9,cadre,51783.0,0.1,44984.0
82,40,15,non_cadre,29913.0,0.06,24247.0
83,28,0,non_cadre,35240.0,0.06,0.0
84,57,13,cadre,45161.0,0.1,61734.0
85,49,15,non_cadre,34538.0,0.06,31177.0
86,52,10,non_cadre,29941.0,0.06,15485.0
87,26,4,non_cadre,31420.0,0.06,7801.0
88,35,7,non_cadre,28587.0,0.06,9903.0
89,55,4,non_cadre,36665.0,0.06,8388.0
90,57,15,non_cadre,32000.0,0.06,32170.0
91,40,18,non_cadre,29066.0,0.06,36289.0
92,56,11,non_cadre,28893.0,0.06,17126.0
93,58,1,non_cadre,29352.0,0.06,2014.0
94,38,16,non_cadre,30183.0,0.06,33516.0
95,60,13,non_cadre,29664.0,0.06,24127.0
96,34,5,non_cadre,26828.0,0.06,9601.0
97,32,10,non_cadre,34959.0,0.06,18846.0
98,51,9,non_cadre,35404.0,0.06,15822.0
99,49,27,non_cadre,42861.0,0.06,78974.0
100,28,6,non_cadre,26588.0,0.06,9537.0
101,57,16,non_cadre,34277.0,0.06,30885.0
102,30,8,non_cadre,20478.0,0.06,8081.0
103,56,7,cadre,55094.0,0.1,31850.0
104,22,0,non_cadre,22418.0,0.06,0.0
105,56,3,non_cadre,24639.0,0.06,3874.0
106,55,19,non_cadre,32061.0,0.06,43427.0
107,55,22,cadre,33217.0,0.1,66688.0
108,50,28,non_cadre,25778.0,0.06,48799.0
109,42,9,non_cadre,27228.0,0.06,11877.0
110,52,8,non_cadre,34713.0,0.06,15475.0
111,33,11,cadre,75812.0,0.1,96943.0
112,55,20,non_cadre,29677.0,0.06,31126.0
113,45,23,non_cadre,27812.0,0.06,35065.0
114,41,0,non_cadre,35346.0,0.06,0.0
115,43,7,cadre,49197.0,0.1,29223.0
116,46,7,non_cadre,20783.0,0.06,7169.0
117,23,1,non_cadre,36974.0,0.06,2632.0
118,28,6,non_cadre,26550.0,0.06,9194.0
119,32,10,cadre,74438.0,0.1,79139.0
120,26,0,non_cadre,24864.0,0.06,0.0
121,40,18,non_cadre,32312.0,0.06,30991.0
122,50,18,non_cadre,49972.0,0.06,53106.0
123,50,18,non_cadre,30773.0,0.06,35563.0
124,42,20,non_cadre,27364.0,0.06,30121.0
125,58,3,non_cadre,28639.0,0.06,5948.0
126,46,22,cadre,60535.0,0.1,148154.0
127,25,3,non_cadre,40085.0,0.06,7364.0
128,54,15,cadre,50384.0,0.1,74343.0
129,46,20,non_cadre,24323.0,0.06,30583.0
130,49,18,non_cadre,24482.0,0.06,28891.0
131,46,9,non_cadre,30092.0,0.06,13877.0
132,45,11,cadre,37343.0,0.1,46872.0
133,25,3,cadre,55357.0,0.1,16537.0
134,46,1,non_cadre,37483.0,0.06,2641.0
135,56,21,non_cadre,29455.0,0.06,43876.0
136,35,2,non_cadre,24907.0,0.06,2428.0
137,47,13,cadre,36203.0,0.1,44889.0
138,23,1,cadre,51247.0,0.1,5178.0
139,36,2,cadre,70777.0,0.1,14380.0
140,40,18,non_cadre,25915.0,0.06,31597.0
141,64,11,non_cadre,36296.0,0.06,20516.0
142,31,0,non_cadre,31327.0,0.06,0.0
143,33,11,non_cadre,25609.0,0.06,19894.0
144,39,16,non_cadre,36385.0,0.06,41869.0
145,64,19,non_cadre,36732.0,0.06,33669.0
146,58,22,non_cadre,32056.0,0.06,50312.0
147,23,1,non_cadre,26542.0,0.06,1352.0
148,32,10,non_cadre,27372.0,0.06,16666.0
149,57,11,non_cadre,31758.0,0.06,18834.0
150,24,2,non_cadre,23076.0,0.06,2887.0
151,58,4,non_cadre,39125.0,0.06,7651.0
152,34,12,cadre,83294.0,0.1,89491.0
153,61,7,non_cadre,28617.0,0.06,11060.0
154,34,12,cadre,41109.0,0.1,57532.0
155,40,18,cadre,59955.0,0.1,111529.0
156,50,25,cadre,64650.0,0.1,175086.0
157,27,5,non_cadre,40960.0,0.06,13153.0
158,45,3,non_cadre,21202.0,0.06,3652.0
159,43,4,non_cadre,28165.0,0.06,5446.0
160,55,27,non_cadre,33160.0,0.06,45275.0
161,64,11,non_cadre,27177.0,0.06,17641.0
162,50,0,non_cadre,42852.0,0.06,0.0
163,39,8,cadre,61095.0,0.1,43964.0
164,39,17,non_cadre,25483.0,0.06,28055.0
165,39,10,non_cadre,29041.0,0.06,19701.0
166,57,2,non_cadre,25824.0,0.06,3603.0
167,35,13,non_cadre,28852.0,0.06,20646.0
168,29,5,non_cadre,28677.0,0.06,10087.0
169,36,10,cadre,63301.0,0.1,66035.0
170,22,0,non_cadre,25116.0,0.06,0.0
171,26,4,non_cadre,17776.0,0.06,4741.0
172,25,3,non_cadre,21765.0,0.06,3508.0
173,55,26,non_cadre,24423.0,0.06,42864.0
174,53,10,cadre,37344.0,0.1,39584.0
175,51,6,cadre,40273.0,0.1,27057.0
176,41,4,cadre,55817.0,0.1,25504.0
177,52,6,cadre,50760.0,0.1,31886.0
178,28,6,cadre,30511.0,0.1,14914.0
179,60,2,non_cadre,24000.0,0.06,2647.0
180,43,12,non_cadre,26851.0,0.06,22256.0
181,62,25,non_cadre,26622.0,0.06,41961.0
182,28,6,non_cadre,34433.0,0.06,14330.0
183,43,19,cadre,67491.0,0.1,122310.0
184,51,26,non_cadre,27929.0,0.06,43652.0
185,43,21,cadre,67133.0,0.1,161427.0
186,41,19,non_cadre,35268.0,0.06,44420.0
187,29,7,cadre,80208.0,0.1,53394.0
188,38,3,non_cadre,37015.0,0.06,5390.0
189,32,10,non_cadre,23825.0,0.06,16470.0
190,34,8,non_cadre,29705.0,0.06,15892.0
191,51,21,non_cadre,26736.0,0.06,33002.0
192,49,27,non_cadre,23476.0,0.06,38735.0
193,48,14,cadre,48541.0,0.1,59920.0
194,37,2,non_cadre,42427.0,0.06,4912.0
195,63,11,non_cadre,25295.0,0.06,14446.0
196,25,3,non_cadre,29245.0,0.06,4655.0
197,36,14,non_cadre,23075.0,0.06,22068.0
198,27,5,non_cadre,22407.0,0.06,6352.0
199,36,14,non_cadre,25630.0,0.06,24239.0
200,63,28,non_cadre,27418.0,0.06,45581.0
201,37,13,non_cadre,27663.0,0.06,17873.0
202,61,12,cadre,71250.0,0.1,80764.0
203,43,21,cadre,68186.0,0.1,123618.0
204,52,20,non_cadre,26470.0,0.06,34224.0
205,41,15,cadre,30456.0,0.1,53202.0
206,33,11,cadre,50109.0,0.1,60920.0
207,54,21,cadre,43024.0,0.1,100413.0
208,63,22,non_cadre,31810.0,0.06,48067.0
209,33,11,cadre,43968.0,0.1,53717.0
210,55,0,cadre,51731.0,0.1,0.0
211,33,3,non_cadre,22131.0,0.06,4325.0
212,52,4,cadre,37753.0,0.1,14594.0
213,55,13,non_cadre,32277.0,0.06,20854.0
214,41,18,non_cadre,30336.0,0.06,35457.0
215,53,24,non_cadre,37568.0,0.06,58894.0
216,33,6,non_cadre,28088.0,0.06,8994.0
217,25,3,non_cadre,26513.0,0.06,5639.0
218,26,4,cadre,63431.0,0.1,20831.0
219,41,1,non_cadre,43352.0,0.06,2847.0
220,60,10,cadre,62318.0,0.1,73996.0
221,27,5,cadre,73297.0,0.1,33851.0
222,41,19,non_cadre,36974.0,0.06,49105.0
223,52,27,cadre,32850.0,0.1,100276.0
224,30,8,cadre,45564.0,0.1,40010.0
225,53,15,non_cadre,35068.0,0.06,37290.0
226,35,13,non_cadre,26809.0,0.06,22200.0
227,56,9,cadre,77966.0,0.1,70026.0
228,46,23,cadre,51185.0,0.1,125998.0
229,45,2,cadre,53120.0,0.1,10249.0
230,29,7,cadre,68884.0,0.1,44841.0
231,41,4,non_cadre,26330.0,0.06,5263.0
232,58,14,non_cadre,36122.0,0.06,28862.0
233,22,0,non_cadre,36360.0,0.06,0.0
234,54,5,non_cadre,34854.0,0.06,12319.0
235,43,11,non_cadre,32760.0,0.06,25731.0
236,52,25,non_cadre,32582.0,0.06,43136.0
237,50,16,cadre,52860.0,0.1,86993.0
238,40,18,cadre,75044.0,0.1,139172.0
239,35,13,non_cadre,32992.0,0.06,22399.0
240,48,26,non_cadre,22653.0,0.06,36493.0
241,28,6,cadre,63033.0,0.1,35744.0
242,47,25,non_cadre,24420.0,0.06,43112.0
243,26,4,non_cadre,37436.0,0.06,8105.0
244,49,27,non_cadre,41763.0,0.06,76721.0
245,49,10,non_cadre,19441.0,0.06,13516.0
246,25,3,non_cadre,41024.0,0.06,8081.0
247,54,17,non_cadre,30525.0,0.06,27582.0
248,39,17,cadre,54526.0,0.1,83809.0
249,55,27,cadre,65187.0,0.1,209173.0
250,23,1,non_cadre,40016.0,0.06,1994.0
251,29,4,non_cadre,31285.0,0.06,6358.0
252,43,12,cadre,48920.0,0.1,69942.0
253,30,8,non_cadre,29373.0,0.06,15661.0
254,36,14,non_cadre,33259.0,0.06,30691.0
255,50,10,non_cadre,28732.0,0.06,14896.0
256,28,6,non_cadre,34218.0,0.06,12264.0
257,51,1,non_cadre,29608.0,0.06,2019.0
258,26,4,non_cadre,26632.0,0.06,5954.0
259,29,7,non_cadre,24143.0,0.06,8894.0
260,47,7,cadre,43503.0,0.1,24495.0
261,56,29,non_cadre,31253.0,0.06,57046.0
262,29,2,non_cadre,20274.0,0.06,2232.0
263,34,12,cadre,60408.0,0.1,83035.0
264,61,14,non_cadre,20123.0,0.06,15440.0
265,64,24,non_cadre,26517.0,0.06,32863.0
266,46,24,cadre,43133.0,0.1,122585.0
267,41,16,non_cadre,23664.0,0.06,26941.0
268,36,14,non_cadre,34530.0,0.06,31152.0
269,48,20,non_cadre,53036.0,0.06,74549.0
270,47,15,non_cadre,40121.0,0.06,31225.0
271,34,5,non_cadre,30812.0,0.06,9097.0
272,22,0,non_cadre,35619.0,0.06,0.0
273,28,6,non_cadre,22811.0,0.06,8142.0
274,63,13,non_cadre,21901.0,0.06,19072.0
275,39,17,non_cadre,30173.0,0.06,35023.0
276,42,6,non_cadre,32490.0,0.06,9377.0
277,42,7,non_cadre,37340.0,0.06,14990.0
278,55,24,non_cadre,26774.0,0.06,46174.0
279,24,2,cadre,32838.0,0.1,6802.0
280,25,3,non_cadre,30970.0,0.06,5120.0
281,33,11,non_cadre,29222.0,0.06,18430.0
282,42,20,non_cadre,29568.0,0.06,32963.0
283,50,24,non_cadre,25286.0,0.06,35649.0
284,43,21,non_cadre,31726.0,0.06,39087.0
285,40,18,cadre,51860.0,0.1,93604.0
286,62,17,cadre,66830.0,0.1,111998.0
287,28,6,non_cadre,34273.0,0.06,12418.0
288,46,24,non_cadre,36847.0,0.06,43042.0
289,45,7,non_cadre,34352.0,0.06,11856.0
290,42,8,non_cadre,24354.0,0.06,11087.0
291,56,24,non_cadre,30604.0,0.06,50855.0
292,33,11,non_cadre,25001.0,0.06,18420.0
293,63,10,non_cadre,30585.0,0.06,15489.0
294,36,14,non_cadre,25020.0,0.06,20973.0
295,45,23,non_cadre,38731.0,0.06,55685.0
296,44,22,non_cadre,35088.0,0.06,45968.0
297,58,0,non_cadre,37781.0,0.06,0.0
298,40,18,cadre,43044.0,0.1,92890.0
299,34,5,non_cadre,28420.0,0.06,7150.0
300,22,0,cadre,54030.0,0.1,0.0
301,37,2,non_cadre,42502.0,0.06,5125.0
302,57,29,non_cadre,29025.0,0.06,51764.0
303,22,0,non_cadre,22880.0,0.06,0.0
304,60,12,non_cadre,36697.0,0.06,27884.0
305,45,7,cadre,33564.0,0.1,19213.0
306,28,6,non_cadre,40544.0,0.06,16004.0
307,34,11,non_cadre,31494.0,0.06,22143.0
308,45,22,non_cadre,29880.0,0.06,36766.0
309,35,2,cadre,76179.0,0.1,18216.0
310,26,4,non_cadre,22054.0,0.06,5989.0
311,50,27,non_cadre,26686.0,0.06,43915.0
312,50,27,non_cadre,25122.0,0.06,48683.0
313,27,5,non_cadre,19340.0,0.06,6568.0
314,34,11,non_cadre,35724.0,0.06,20164.0
315,32,10,non_cadre,26835.0,0.06,16687.0
316,50,16,non_cadre,35955.0,0.06,35633.0
317,53,16,cadre,33506.0,0.1,56889.0
318,53,3,non_cadre,33873.0,0.06,7172.0
319,62,22,non_cadre,27388.0,0.06,36037.0
320,55,6,non_cadre,25748.0,0.06,7702.0
321,35,9,cadre,41272.0,0.1,36838.0
322,26,4,non_cadre,36054.0,0.06,9649.0
323,48,20,non_cadre,29699.0,0.06,33623.0
324,61,11,cadre,54766.0,0.1,48847.0
325,63,27,cadre,45853.0,0.1,114059.0
326,31,9,cadre,63150.0,0.1,60976.0
327,32,10,non_cadre,26853.0,0.06,13444.0
328,23,1,non_cadre,29573.0,0.06,1686.0
329,28,5,non_cadre,28601.0,0.06,7321.0
330,45,14,non_cadre,27448.0,0.06,22834.0
331,45,16,non_cadre,31816.0,0.06,26164.0
332,37,15,non_cadre,33519.0,0.06,25449.0
333,35,11,cadre,40232.0,0.1,47757.0
334,57,26,cadre,49329.0,0.1,110710.0
335,41,18,non_cadre,41262.0,0.06,38410.0
336,56,2,non_cadre,25469.0,0.06,3169.0
337,63,22,non_cadre,21780.0,0.06,23501.0
338,35,13,non_cadre,29914.0,0.06,18974.0
339,30,8,non_cadre,35616.0,0.06,16627.0
340,62,14,non_cadre,34516.0,0.06,27429.0
341,49,9,non_cadre,38224.0,0.06,21009.0
342,34,12,cadre,92504.0,0.1,132916.0
343,48,17,non_cadre,38544.0,0.06,38288.0
344,44,13,non_cadre,32082.0,0.06,25785.0
345,60,8,non_cadre,22030.0,0.06,12348.0
346,33,11,cadre,41837.0,0.1,45711.0
347,64,14,non_cadre,31034.0,0.06,29000.0
348,62,14,non_cadre,32377.0,0.06,27726.0
349,29,7,non_cadre,36636.0,0.06,16232.0
350,29,7,cadre,91247.0,0.1,74923.0
351,44,6,non_cadre,22346.0,0.06,6438.0
352,23,1,non_cadre,29154.0,0.06,2030.0
353,34,3,non_cadre,21708.0,0.06,3904.0
354,40,14,non_cadre,34158.0,0.06,29918.0
355,63,23,non_cadre,39678.0,0.06,53662.0
356,64,24,non_cadre,23404.0,0.06,30479.0
357,28,6,non_cadre,26230.0,0.06,7804.0
358,60,22,non_cadre,25147.0,0.06,39104.0
359,25,1,non_cadre,27397.0,0.06,1725.0
360,54,10,non_cadre,32579.0,0.06,22468.0
361,58,19,non_cadre,27456.0,0.06,28681.0
362,60,24,cadre,59364.0,0.1,129822.0
363,31,9,cadre,50934.0,0.1,42830.0
364,60,25,non_cadre,37395.0,0.06,50058.0
365,26,4,non_cadre,23988.0,0.06,5752.0
366,44,4,non_cadre,39582.0,0.06,11157.0
367,42,2,non_cadre,40222.0,0.06,5553.0
368,35,13,non_cadre,40925.0,0.06,31859.0
369,22,0,non_cadre,29068.0,0.06,0.0
370,55,8,non_cadre,25812.0,0.06,12943.0
371,36,14,cadre,55328.0,0.1,80937.0
372,50,22,non_cadre,24067.0,0.06,34104.0
373,39,10,cadre,64024.0,0.1,64936.0
374,38,7,non_cadre,35544.0,0.06,12103.0
375,60,22,non_cadre,38959.0,0.06,42705.0
376,26,4,non_cadre,27224.0,0.06,7772.0
377,53,5,non_cadre,29769.0,0.06,9810.0
378,54,7,non_cadre,29381.0,0.06,14553.0
379,38,14,cadre,100062.0,0.1,131095.0
380,33,11,non_cadre,34756.0,0.06,23260.0
381,22,0,cadre,58195.0,0.1,0.0
382,62,28,non_cadre,30863.0,0.06,60331.0
383,62,11,non_cadre,32229.0,0.06,19465.0
384,32,10,cadre,62885.0,0.1,67760.0
385,23,1,cadre,62997.0,0.1,5481.0
386,27,5,non_cadre,25368.0,0.06,6409.0
387,24,2,cadre,67342.0,0.1,11613.0
388,57,29,cadre,71462.0,0.1,209682.0
389,60,14,non_cadre,27502.0,0.06,26285.0
390,28,6,non_cadre,31439.0,0.06,13578.0
391,54,5,non_cadre,32140.0,0.06,10115.0
392,29,4,non_cadre,37246.0,0.06,9059.0
393,37,15,non_cadre,24336.0,0.06,24416.0
394,47,24,non_cadre,39103.0,0.06,46482.0
395,52,16,non_cadre,30139.0,0.06,32514.0
396,59,0,non_cadre,27112.0,0.06,0.0
397,23,1,non_cadre,26946.0,0.06,1636.0
398,30,8,non_cadre,24555.0,0.06,9537.0
399,34,12,non_cadre,21179.0,0.06,13432.0
400,35,13,cadre,52513.0,0.1,64709.0
401,64,25,non_cadre,44584.0,0.06,78679.0
402,55,20,cadre,51132.0,0.1,107929.0
403,35,13,non_cadre,24807.0,0.06,19428.0
404,63,15,cadre,46502.0,0.1,69430.0
405,43,0,non_cadre,29727.0,0.06,0.0
406,43,11,non_cadre,35449.0,0.06,21746.0
407,40,18,non_cadre,29396.0,0.06,26599.0
408,28,6,cadre,49393.0,0.1,31735.0
409,62,16,cadre,46248.0,0.1,68936.0
410,22,0,non_cadre,18630.0,0.06,0.0
411,29,0,non_cadre,23867.0,0.06,0.0
412,31,9,non_cadre,36265.0,0.06,17568.0
413,34,12,non_cadre,38076.0,0.06,32039.0
414,27,5,cadre,67949.0,0.1,38690.0
415,22,0,non_cadre,32765.0,0.06,0.0
416,51,6,non_cadre,19106.0,0.06,8156.0
417,63,10,cadre,46034.0,0.1,42617.0
418,27,5,non_cadre,39100.0,0.06,11170.0
419,34,12,cadre,38515.0,0.1,49883.0
420,43,19,non_cadre,39398.0,0.06,36216.0
421,61,24,non_cadre,28615.0,0.06,49346.0
422,51,29,non_cadre,23101.0,0.06,32331.0
423,54,2,non_cadre,29757.0,0.06,3616.0
424,46,7,cadre,46902.0,0.1,35047.0
425,39,9,non_cadre,41030.0,0.06,25827.0
426,30,7,non_cadre,31398.0,0.06,13947.0
427,59,24,non_cadre,30100.0,0.06,45025.0
428,56,4,non_cadre,30444.0,0.06,6723.0
429,23,0,non_cadre,32498.0,0.06,0.0
430,52,25,non_cadre,34004.0,0.06,56101.0
431,25,3,non_cadre,25953.0,0.06,4701.0
432,53,6,non_cadre,24280.0,0.06,9718.0
433,57,9,non_cadre,39461.0,0.06,17641.0
434,27,5,non_cadre,21606.0,0.06,6055.0
435,40,15,non_cadre,41627.0,0.06,44355.0
436,27,5,cadre,80849.0,0.1,37570.0
437,46,12,non_cadre,26690.0,0.06,20153.0
438,61,0,cadre,48894.0,0.1,0.0
439,25,3,non_cadre,30002.0,0.06,6344.0
440,39,16,cadre,50190.0,0.1,69472.0
441,63,15,cadre,49919.0,0.1,68870.0
442,34,12,non_cadre,30405.0,0.06,25065.0
443,27,5,non_cadre,28731.0,0.06,9192.0
444,43,21,non_cadre,26481.0,0.06,33941.0
445,43,7,non_cadre,29793.0,0.06,11987.0
446,50,10,non_cadre,26704.0,0.06,15454.0
447,35,13,non_cadre,48818.0,0.06,44702.0
448,63,12,non_cadre,28594.0,0.06,21996.0
449,44,12,non_cadre,27839.0,0.06,23484.0
450,34,5,non_cadre,26920.0,0.06,9601.0
451,63,7,cadre,54141.0,0.1,38611.0
452,61,22,non_cadre,21615.0,0.06,29786.0
453,43,21,non_cadre,32236.0,0.06,43158.0
454,23,1,cadre,41082.0,0.1,4666.0
455,47,9,non_cadre,22568.0,0.06,12962.0
456,45,4,non_cadre,25467.0,0.06,5170.0
457,28,4,cadre,57970.0,0.1,27292.0
458,49,11,non_cadre,25237.0,0.06,17729.0
459,58,15,cadre,37950.0,0.1,65348.0
460,26,4,cadre,34547.0,0.1,13403.0
461,53,26,non_cadre,31041.0,0.06,47934.0
462,28,0,cadre,73481.0,0.1,0.0
463,54,21,cadre,53042.0,0.1,123703.0
464,40,8,non_cadre,28336.0,0.06,11308.0
465,22,0,cadre,66983.0,0.1,0.0
466,63,16,non_cadre,30926.0,0.06,32894.0
467,29,1,non_cadre,31934.0,0.06,2293.0
468,47,10,cadre,54602.0,0.1,43936.0
469,29,7,non_cadre,29978.0,0.06,11406.0
470,62,8,cadre,59366.0,0.1,46825.0
471,53,17,non_cadre,37787.0,0.06,34271.0
472,56,13,cadre,46322.0,0.1,48823.0
473,40,18,non_cadre,31428.0,0.06,34479.0
474,42,5,cadre,50479.0,0.1,26748.0
475,49,1,non_cadre,33978.0,0.06,1970.0
476,55,15,cadre,69633.0,0.1,99013.0
477,58,7,cadre,28918.0,0.1,24175.0
478,22,0,non_cadre,33579.0,0.06,0.0
479,50,2,non_cadre,35861.0,0.06,4816.0
480,26,4,non_cadre,40021.0,0.06,8787.0
481,34,12,cadre,61509.0,0.1,83559.0
482,57,2,cadre,43385.0,0.1,9800.0
483,32,9,non_cadre,31524.0,0.06,15441.0
484,56,25,non_cadre,30517.0,0.06,48629.0
485,41,16,non_cadre,30697.0,0.06,31615.0
486,32,5,non_cadre,30224.0,0.06,8859.0
487,36,6,non_cadre,31298.0,0.06,12501.0
488,44,22,cadre,49903.0,0.1,101306.0
489,54,25,non_cadre,38293.0,0.06,57078.0
490,48,10,non_cadre,25789.0,0.06,18507.0
491,62,14,non_cadre,28984.0,0.06,21217.0
492,59,23,non_cadre,27569.0,0.06,32685.0
493,54,5,cadre,59917.0,0.1,25671.0
494,47,6,non_cadre,21715.0,0.06,9375.0
495,34,12,non_cadre,30146.0,0.06,18752.0
496,39,5,non_cadre,33018.0,0.06,8678.0
497,27,5,non_cadre,29084.0,0.06,9405.0
498,38,14,non_cadre,29946.0,0.06,27766.0
499,61,29,cadre,58072.0,0.1,170232.0
500,40,0,non_cadre,39782.0,0.06,0.0
501,26,4,cadre,60914.0,0.1,19872.0
502,50,6,non_cadre,23733.0,0.06,8957.0
503,63,1,cadre,46666.0,0.1,4865.0
504,59,21,non_cadre,43725.0,0.06,51154.0
505,33,11,non_cadre,23784.0,0.06,18206.0
506,41,19,non_cadre,34166.0,0.06,39773.0
507,44,3,cadre,73285.0,0.1,19755.0
508,32,2,non_cadre,18692.0,0.06,1874.0
509,33,11,non_cadre,32565.0,0.06,18115.0
510,32,10,non_cadre,33848.0,0.06,23537.0
511,64,12,cadre,67516.0,0.1,72927.0
512,54,23,non_cadre,26362.0,0.06,42302.0
513,58,27,non_cadre,26657.0,0.06,36622.0
514,57,26,non_cadre,28092.0,0.06,52307.0
515,63,15,cadre,46878.0,0.1,79693.0
516,26,4,non_cadre,27195.0,0.06,5525.0
517,59,15,cadre,54121.0,0.1,67740.0
518,24,2,cadre,71675.0,0.1,16075.0
519,42,17,cadre,58839.0,0.1,83145.0
520,47,15,non_cadre,21145.0,0.06,17220.0
521,37,13,non_cadre,38189.0,0.06,33377.0
522,28,6,cadre,59838.0,0.1,41756.0
523,30,8,non_cadre,27759.0,0.06,14751.0
524,57,27,non_cadre,29340.0,0.06,54944.0
525,35,13,non_cadre,31282.0,0.06,24984.0
526,35,3,non_cadre,27015.0,0.06,5407.0
527,61,17,non_cadre,33194.0,0.06,31748.0
528,28,6,cadre,47241.0,0.1,31578.0
529,61,0,non_cadre,28243.0,0.06,0.0
530,61,2,non_cadre,19264.0,0.06,2381.0
531,47,17,non_cadre,37926.0,0.06,46302.0
532,29,7,non_cadre,28962.0,0.06,12017.0
533,28,6,non_cadre,34302.0,0.06,12938.0
534,34,12,non_cadre,33000.0,0.06,23854.0
535,46,2,non_cadre,33487.0,0.06,3633.0
536,28,6,non_cadre,29953.0,0.06,10051.0
537,41,1,non_cadre,32422.0,0.06,2318.0
538,26,4,non_cadre,24753.0,0.06,5684.0
539,45,23,non_cadre,23735.0,0.06,35105.0
540,22,0,cadre,36534.0,0.1,0.0
541,52,8,non_cadre,26186.0,0.06,14529.0
542,24,2,non_cadre,39897.0,0.06,5281.0
543,30,8,non_cadre,32337.0,0.06,12918.0
544,29,7,non_cadre,25995.0,0.06,10287.0
545,57,6,non_cadre,28414.0,0.06,11096.0
546,24,2,non_cadre,30809.0,0.06,3196.0
547,40,4,non_cadre,29595.0,0.06,7113.0
548,47,1,non_cadre,31676.0,0.06,1762.0
